consentState,consentVersion,purpose,actorRole,scopeResult,expectedDecision,actualDecision,requestId,transactionHash,pass
"active","1","allowed","authorized","valid","authorized","authorized","0x4e8e5b4083953a240f969869b4ceb9d8fdd2e3486d9287b0bd14e9d668cb034e","0xc50ecd8067963cd0f251870c83c8c1b45079575a52268ab398be2ccc49fd1263",true
"active","1","allowed","authorized","valid","authorized","authorized","0x57067ecc1a712e4a9186789c1c9b8a01561554bb8d0f35475a0180e0acb4f2fa","0x7367bc77bb92a62d224537ad36dc277a756d5ac85521fee28b20c843da509199",true
"active","1","allowed","authorized","valid","authorized","authorized","0xde609cfb06825d98e11b5e369fcf1d181457ec2dd5133da40733f5144f996a41","0x1e3abdb91a045d164711b830fa8bb4a611eed590d4a39d0683a87c96e41843e1",true
"active","1","allowed","authorized","invalid","denied","denied","0xf6287af04f34a0484683edc8c928dc29a030793f9999f4471d443695f6cf4171","",true
"active","1","allowed","authorized","invalid","denied","denied","0x958d80651b57636692bef7add239cf874f14d75a204463cd0844c2664eb074d6","",true
"active","1","allowed","authorized","invalid","denied","denied","0xcb244b793a478d1a4e1ac2d6efe9bc945178d2560a3e1c21ed112813eae2e7f0","",true
"active","1","allowed","unauthorized","valid","denied","denied","0xe54a8d9e0b7d8b5bc0d04658051b8684c99fd2bc92f04911d9b7c99e86fa1089","",true
"active","1","allowed","unauthorized","valid","denied","denied","0x111db49fa224bbb0d09dac720555b5000b3237d6b4d6d9a59eb54366c0ae2d2e","",true
"active","1","allowed","unauthorized","valid","denied","denied","0xb171415d38b84b1527d83682a09fa1d22f73ee63f0db4bf10115a65305283d51","",true
"active","1","allowed","unauthorized","invalid","denied","denied","0xc0b245e7356336ac3667a241102bee82c28c1035005eb3b403d9b1a61d86b320","",true
"active","1","allowed","unauthorized","invalid","denied","denied","0xb75b054b100f080ac08ec2e2030d6a915aa48f3bde7e904817a4691777bd76fd","",true
"active","1","allowed","unauthorized","invalid","denied","denied","0xf108b064e32ee0a03193112924218b1646185e853ecb6f4fd2a4ae11de97535d","",true
"active","1","disallowed","authorized","valid","denied","denied","0x4a37ea1d115398454e5da5b6f3951c3444dd5f90e9ce61df0bcfabbffaa7d3d0","",true
"active","1","disallowed","authorized","valid","denied","denied","0x9b7ea2ff5d90402f7fe1c1453a58e32a4dc46514b9c8fda61c6a60786517495e","",true
"active","1","disallowed","authorized","valid","denied","denied","0xce81fafefd72077d2c3e3b8de9b85f1e80e271b4a8a88b315b1d2ab7715d779f","",true
"active","1","disallowed","authorized","invalid","denied","denied","0x4a3e23bcd5baf59f96d4758ffcd0bae2c585fd81ce54ee7e0ce8ab4c850c3ca9","",true
"active","1","disallowed","authorized","invalid","denied","denied","0x56bb1ed4713515fee02a17c1ea8585565d5c4a1020b7aec610db0697a8c34c54","",true
"active","1","disallowed","authorized","invalid","denied","denied","0xd097a5725fd56519e709c070a036a1e64f7f75a768d0c44c3ebeb1f8e8a564e3","",true
"active","1","disallowed","unauthorized","valid","denied","denied","0xe4160c27639077350b698578ff0580b9cc538850e824815989c436e6da6d1a80","",true
"active","1","disallowed","unauthorized","valid","denied","denied","0x80598c741ebc481718508461cc7cb4c7dd7928bf4a0c86b863360d26f09b1504","",true
"active","1","disallowed","unauthorized","valid","denied","denied","0x8d92805acf619b79827bf1219584027f4fad1bebe5c7d62c16fb2c0b8fc3b35a","",true
"active","1","disallowed","unauthorized","invalid","denied","denied","0xcbb07bd994c71dd7bf9e6ef5557c755f6d5fc50ae2a8014323d546ef86c298ea","",true
"active","1","disallowed","unauthorized","invalid","denied","denied","0x1f0b712d034b10c2dff164d1ab6d9a77809e1f2c2c38e991729934665546ecde","",true
"active","1","disallowed","unauthorized","invalid","denied","denied","0x3e34b2acf4eac8a66a6d816f82ddad5f8f15753dabd19fdcd838224b4e2b5c2a","",true
"updated","2","allowed","authorized","valid","authorized","authorized","0xff12fbda43ef72d45ed644fac5037e46510dedfbe5ad8a704ead08d1777c2561","0xfd7f90d04f05b9b6f8ec373fdf74cf35393c53fe7ebb3f562d0d45747d36aec1",true
"updated","2","allowed","authorized","valid","authorized","authorized","0x940d776f4f6b292c2db971bb228860840ebe03e640d7fa81d3ca86b69ec25424","0xf53b4a35ec04347268e60228aa9d85bea6bba572c4f3e129762ade049bd9e813",true
"updated","2","allowed","authorized","valid","authorized","authorized","0x1532ad8e698e661985f61cfe8c06020368bf026609062cec967c1a2b2c468f86","0x191a24a29bbabec8e1b6e3b59856a38e577a071256745283dd6119e5866cf8f2",true
"updated","2","allowed","authorized","invalid","denied","denied","0x7d987fb45e2b706c94e4ebf0e112a14aa673afdb5df3410b19c6f5a5aaaa984f","",true
"updated","2","allowed","authorized","invalid","denied","denied","0xccbca699a3eb49a9bbcb08f86af686f0bc86c66b807f8b6f60591cf20428d0bc","",true
"updated","2","allowed","authorized","invalid","denied","denied","0x064e9706bf61cb907c0bd2ef824738931f30900b5beea1b8c1e631dc06ca1a70","",true
"updated","2","allowed","unauthorized","valid","denied","denied","0x057bb42b9a1f084e6c3ad6ae6c89b0edd6ed38c065d55cf8a9aed84c32cd24df","",true
"updated","2","allowed","unauthorized","valid","denied","denied","0x5839abc57de044823d1240bbfb7fd9803b10ceace006d142866d377b7850d46f","",true
"updated","2","allowed","unauthorized","valid","denied","denied","0xb21d4bd2f5aa61bfcdfc5a4ff170968f649781e660d17af5e6de079e12f1c164","",true
"updated","2","allowed","unauthorized","invalid","denied","denied","0x7903589ce3fca091e7857a3bf8dcff71657854078684641e3a24ff2291b5f236","",true
"updated","2","allowed","unauthorized","invalid","denied","denied","0x99d13dbf4654c492dbf4b9ac07c4cb72c94b99077ecf0796ea523eed4cf50906","",true
"updated","2","allowed","unauthorized","invalid","denied","denied","0x117f72ee93320b9c1860cdf62eb9318ff1535ff61daab1f74ff5e76d6a82a4ba","",true
"updated","2","disallowed","authorized","valid","denied","denied","0xe9807c7eef72310d108de5ea914ce01413c76d0d32bb95be4cdc2fc1b2335b1c","",true
"updated","2","disallowed","authorized","valid","denied","denied","0x0a9b061df1f1c30b7618f6b80460f630813b514a475945627ae4df66bb0daaee","",true
"updated","2","disallowed","authorized","valid","denied","denied","0x5a2c1c14a881996c3859bd162234442f28bf608be9563ff3fb678f768ec01397","",true
"updated","2","disallowed","authorized","invalid","denied","denied","0x7ab36a955a21b4b913cbf34aa98027f8dc1c02a4f259064943b5f08e7813404d","",true
"updated","2","disallowed","authorized","invalid","denied","denied","0x62d5207a22b00643e3d293a0d48fe08a26b6fdd3e22c833cc9e993344ce81882","",true
"updated","2","disallowed","authorized","invalid","denied","denied","0x65ae50e26d6a1261d126ac02a9d0a8cb4362f436eb159c2fb5245dbadb6b7835","",true
"updated","2","disallowed","unauthorized","valid","denied","denied","0x3855c2ae969297b835504819a3739cda12b54407c26c74c8d2b2d9ae0798d36b","",true
"updated","2","disallowed","unauthorized","valid","denied","denied","0x3766f5e97f24cb1e853e9d421edaf3ef35e356ee4b9ea7c827ec6c8e9d57e802","",true
"updated","2","disallowed","unauthorized","valid","denied","denied","0x3fdc962361adce667858d3b2517ab21bd6db9d5bfb54616c73a8fcaae5df1742","",true
"updated","2","disallowed","unauthorized","invalid","denied","denied","0x2a4927a47711cca375175dbaf9fb1f462488daf7a2a4243a291c7a08f3213495","",true
"updated","2","disallowed","unauthorized","invalid","denied","denied","0xa6de5f983380498b6e729e89f7808242092f0d770616cbaa710acee41a6c07bf","",true
"updated","2","disallowed","unauthorized","invalid","denied","denied","0xaf4c0453f50c5ff6c06801072bf117730b4368544e9ae58728c38d58344bb196","",true
"revoked","2","allowed","authorized","valid","denied","denied","0xe5ef5a8e51473d248da39f264bc2e9bb5d9af16db3b16111ab7a523ff6fca640","",true
"revoked","2","allowed","authorized","valid","denied","denied","0xbcdba44660f3b6e7b005c454a0997e0692a22f7d193af4d8c098dcc432a4276e","",true
"revoked","2","allowed","authorized","valid","denied","denied","0x3c09a9d4f8d46e5a20b59aefdefb3adccfc41ae5b348049b6998eff88fa0b134","",true
"revoked","2","allowed","authorized","invalid","denied","denied","0x57b5e1f412aaac3c8dab70c4e84891c46fc81fd6ee2ce9e4cffa76aa89a9ec43","",true
"revoked","2","allowed","authorized","invalid","denied","denied","0x36e525a56256c9a72d3b7c9a9baa2b88fcf7f2c693e1538fe5d60e5b2ed28f37","",true
"revoked","2","allowed","authorized","invalid","denied","denied","0xd796874552fc9c45b5e1747d8d9306c64bb64c86e3ea4152a09cd6f0916c1c6b","",true
"revoked","2","allowed","unauthorized","valid","denied","denied","0xf38854ac224e1c3436ce937ab4c098de162064dac68f9e7b7db0629bef51766f","",true
"revoked","2","allowed","unauthorized","valid","denied","denied","0x1454c0d84610d41844894b340cc236747e4d599a1bfcdfb0267d1708d70b312e","",true
"revoked","2","allowed","unauthorized","valid","denied","denied","0x7993626121ea875d788777e6799e1a4254c311fa4a95c8f3a4aaf3dcb5a8a044","",true
"revoked","2","allowed","unauthorized","invalid","denied","denied","0x5bd7a202c7be4cc0d84375f214f8dddb4f0d08d53b0d9bcd9dfcc41d705403fb","",true
"revoked","2","allowed","unauthorized","invalid","denied","denied","0xb919b1cb5300f49bbdc7d56e60b6d769d5d2a232663a9bd2fe5873ec5a968ebe","",true
"revoked","2","allowed","unauthorized","invalid","denied","denied","0x0b09eb1b6acaadc57aa0c50ef313850064a466038cad5deb3e152464580262e7","",true
