trial,participantId,preRevocationConsentVersion,preRevocationConsentHash,revocationTxHash,revocationSubmissionTimestamp,revocationReceiptFinalityTimestamp,elapsedLatencyMs,revocationBlockNumber,revocationTransactionIndex,resultingConsentVersion,resultingConsentHash,resultingStatus,staleAuthorizationRequestId,staleAuthorizationTxHash,staleAuthorizationBlockNumber,staleAuthorizationTransactionIndex,staleAuthorizationResult,rejectionReason
1,"0x7eb6437024304be48eb7264bece37bb2e35c85c388290cb213ebe0b23e90ed7b","1","0x017b6c727d4d8af30f342aad8f2b91dc55e1d3795508c2da19c627d181a935de","0x2f96e9a34ce97882e868909f12326193b7c68cb0ba10f6d08fcad032a89cbf42","2026-08-07T23:07:03.231Z","2026-08-07T23:07:05.235Z",2001.563792,5698,0,"2","0xcd9d4ebf9d401c4a486cb0c1b3b57454459d6b990390842a88045e47a6b04bfb",3,"0x3d1d719db319ad20aabdaf8aece82af3fdbf3053d913f1bd61208aabee0b92d7","0x3a59604453de67e07ba372f7440f3c813cb84936da1f4e9736be94b62b552822",5699,0,"denied","VCEMAudit: consent inactive"
2,"0x0e9f3d1751e63f2755146f53c8ee4c01bbe1e50195a6dfaaba920a60f494df8d","1","0x953c92d0f6c36d935f68d5e62b42e6565a8bed02a17656e467abbdb8f3fd7292","0x1aa0df2afcb06f2629c661e84233c961856359ae22560dc0deaaecd6bc1d88f3","2026-08-07T23:07:15.219Z","2026-08-07T23:07:17.226Z",2007.251208,5704,0,"2","0x1f5b15a0961eddd67495582a81ed1bf2e3d63f3588ad2565c4061998cd3a75f1",3,"0x72d46f7f3764ffff158f8a88a22d4351df5c3aa9a827f017ac3fe761ea093d6d","0xab27c14c286a69147fb0e68fcfd16816d8bd9ae85aff2dc02f6a98a97cbef271",5705,0,"denied","VCEMAudit: consent inactive"
3,"0x18fd659e168224e4794a2003f583ecb284c19f7e976d1e317e28ca961125d0e8","1","0xb1ba558aa6f6bfbefa58cf7f8e204c950e277ab5c4e521374620f1c9f88a3fc0","0x1cd7c4752403de21f3e7f027e5d4c65120ecef52f2d8c95fb2d69bffacc733a9","2026-08-07T23:07:27.175Z","2026-08-07T23:07:29.197Z",2022.35375,5710,0,"2","0x666933b6b723d3ee3bf18d280282b1063144be828958021e91c58e2563b50d35",3,"0x28faa94107f8c46979c5b38378a6a8bf42bb1173a73c09e6bec16a95c16065dc","0x43a7dbb67a3c59e88b9ab9bd79610a0e216ab8adc3d318ab88a6ca80e010305e",5711,0,"denied","VCEMAudit: consent inactive"
4,"0x3289d30dbd4029f56798aef32a199431c6cad28bffab8c7a9dfa30d8a5b9c325","1","0x27f3779fcbeed3940bb7de57a7171b267778cdaade0fa92dfe4eb0338468c864","0x23ad77b9c8490ad613d35955a34d67041d4f67b5cb0267bec9e0380443045194","2026-08-07T23:07:39.139Z","2026-08-07T23:07:41.131Z",1992.5685,5716,0,"2","0xb38ec1b5c021d4cdd95bde82d317492d1ca9125e7f81f58e6b28eb5ae6c668b2",3,"0x23660a88f3f2263c8c703d3759eefb9b4284a2d0d0a76428da8822a5e35aced2","0xf76272f4016bf8fc712e4841f6a8d20f790198a38223cfde51a24e755e10540b",5717,0,"denied","VCEMAudit: consent inactive"
5,"0xf3485707fbfaaa357bd1be420fdd5955dab8873d8583748afe39a1dc69e7b14c","1","0x8574a3e793866fa9988f2f0f92eb3369d1a5b725bd218349c2be0d6e20f2a7fc","0x9e344aa982ed7d8ef03c14733e5f953814a14d51865ab430b0141cda174bd499","2026-08-07T23:07:51.390Z","2026-08-07T23:07:53.110Z",1720.238625,5722,0,"2","0x69684acc959375b5bc83927133d0b5cf6022b191ee95d2642d228cdfe379cd79",3,"0x9cca2e5d377088155ac35740e358eaf279aceb4f9df4c8cdd02452482eb9f9a1","0xefa8b2ae3ba80e745d9794e8d4c18426951d3d8ba6d21aa9096a363ff20bb61a",5723,0,"denied","VCEMAudit: consent inactive"
6,"0xa5315ccd2155a802e34001af5689fdcb2d4b57a2dc26a79eb79456295cf10ed4","1","0x294364b52f4bcfa05a5a426ecbaec4533b6c5926fe3dd6e78badb90176e363d9","0x0611103f21047e1e483f12078fe196266fbf410f8f0c48c469dd7878d34f99ec","2026-08-07T23:08:03.106Z","2026-08-07T23:08:05.101Z",1994.873833,5728,0,"2","0xc56784a5a41abf3b6669f955e54000addbb639ee8ffbd52dd87c4943f87cd5a9",3,"0x076fc82f3f957b1c8d2e8ee1f037d28226203b0f8250b92cbc1d0cf5f3629bab","0xfc2866e73b5c81897f83a73638fb6dd82295166c01274354647d5679bdccc385",5729,0,"denied","VCEMAudit: consent inactive"
7,"0x704fed432239e637c939d5ce9f7f84f40020044133a81fe5c2742f96324a8263","1","0x3eca1d15de0ac7422980ad9630e93d7ccc783a97ac01aa9f306eaeaca752bd03","0x97257eadcad119f108c1518c65b598e392faf70b6b6a4c036cd547609ab8a29e","2026-08-07T23:08:15.274Z","2026-08-07T23:08:17.280Z",2006.047542,5734,0,"2","0x41b9fee29cb01e2a530f705c6d4c7689f0483bacd0aa7bfdb711cbc3eb13ef91",3,"0x1be2b6a7ea275f078e577de4b3f4cb48d2af95ccd88cb14711cea59dca8819d9","0x278233bfb6554f91a79cefdaec8fb0bc419b62f3f5667f4868b55bb54257ef87",5735,0,"denied","VCEMAudit: consent inactive"
8,"0x6d44fa9098932ddf86699676bd8a51cf49925e884fb04aec829cd962c33bdf59","1","0x627bdb7adec070b6acdd4827cbaea1dd3f0fe9df604ff7529e758afcbc527c0e","0x7f1f63bc16d764fc55d32996e635111131a3f93afa565110f417fd1cedea81fa","2026-08-07T23:08:27.185Z","2026-08-07T23:08:29.172Z",1987.122333,5740,0,"2","0x080f0d9544335b38d870a95531136231245a511a3be948f39d7ce714bd073aa7",3,"0xa904b952b601bb5183a7222cb86ad26a08e52f1604320c557e3981f0d5259a80","0xe404bb35bdd58df606eb099a7862cb9f41bdbc65d60c4a82fcb79dc11989bb4c",5741,0,"denied","VCEMAudit: consent inactive"
9,"0x48e7163e20a989be33cbd87db2388f1feaffa4a8e1fdad53c7c36aa2d9c42c9e","1","0x2a50fb7488362b15ffe436a19f54d76feabecab6200d5cd719ad02b8bd8cea9e","0x674f5f9437f7f3d50ba5295eb2fbddfc4948550c035e30f294eef02cf6ad25c1","2026-08-07T23:08:39.327Z","2026-08-07T23:08:41.352Z",2025.009917,5746,0,"2","0x1b7cd72d152fd7bcef237a62bf491260445a885d07b0c4281eaa2e4a614db208",3,"0x86d16124af7838ee2a6a56af212b58c0a043aa3e1a357a6d1e06e2960086a13b","0x17d1367fc85ab1ef6343ad3f1887ddac247e0f03bf12ed249341ca4d23640c20",5747,0,"denied","VCEMAudit: consent inactive"
10,"0xaa8d86762c265c45aec19e959120d35a9ceed4ad1d1bb5c358eada3e333a0ef8","1","0xe3a1a846c68e174bb2ed9bc34d5b661383b6c59897a25bc3b3b96e305c16947b","0xae2d185acaba273d2099369958fbb6e0140c9339c1858e952d8caffd8ea8d631","2026-08-07T23:08:51.320Z","2026-08-07T23:08:53.312Z",1991.77825,5752,0,"2","0xb1e2fb154d2418527dda7c5505f5d7a5eb5594f007aa7ddaf11931fe2389bea1",3,"0xb0d3c3c23b37e38fa27daf02e94df574b956dc0333d1eaee1134d466516c3960","0x3bbf2fd2fabb609fa330775bd32ec0a86f08448c036e6898f44c56054ad78605",5753,0,"denied","VCEMAudit: consent inactive"
11,"0x6e71172c8eb27132fa54086b9350ccf03d11db634ae8deb2dde63300d694c7c7","1","0x7072c6ba89e072d729646f64d9d6276b8ada6c5310d7a971092db7648021bdca","0xb7941fe8897f5fd0fc9de8e7e41972a2e7e36e69ce64f035ede9d547b0b3c29f","2026-08-07T23:09:03.156Z","2026-08-07T23:09:05.143Z",1986.985166,5758,0,"2","0x5d391e080d7d217a4f9f838ace51c7fb0cefda7db9d1e38cc85f1b6a9dd2fc5d",3,"0x6a9487353dc696b1ee2f864e0040f7acbf95c111dfda88dd14913647a9bcaafa","0xd97803dee90d577131d47808064bfe9f2eab580d8dbac60ae403086fc62d47ab",5759,0,"denied","VCEMAudit: consent inactive"
12,"0xa28e944a6088cb6c666f88e58d6799e9f7dc64aefd5fe2590dbe18ef08f76a9d","1","0x832d2146e60426be9ace96cc48f8d632413cfc4f8be82e3ab635e9b973ed8826","0xbc4dfec0b237f23542101c7982f4d9723a32b0dfbc8365da529a8b0a13caa5ea","2026-08-07T23:09:15.370Z","2026-08-07T23:09:17.089Z",1718.323917,5764,0,"2","0x2646c0df2c15c70e59980313120a40238cef8947e649368a3806682f35e22b49",3,"0x7f1fec69c4d4905d2bc3878b1b96f3f83b03a0e54a6ac26e938407bb887b92b3","0x3e88a9ba005eb027b276782f0344453844cea2103ae00b57d25b196f5b7d34e9",5765,0,"denied","VCEMAudit: consent inactive"
13,"0x0765670c3949a0f60e2e4dae38d5c07bf3a138ebc19351b8c03c096160c8b24d","1","0x9fc07d44ebf313215e10c1c2b67f6387ed22a18f7efd4a9b92a0552e86d4af1f","0xc3d1cf20610f631d555e29d3bd92eb70a5963455ccedea85c2a4f153e546a4db","2026-08-07T23:09:27.268Z","2026-08-07T23:09:29.266Z",1998.697084,5770,0,"2","0x3b321d1c5bfcab7000c41635b824eed3ec558350f8bc3e99570206eb4a7a601d",3,"0x7f4b349d9b23259562ed659f0b701938d101659a10a0a20aae590f92257c75ed","0x17b8506d850b021477179b3adb0558b61bd488f68819c5325ff2a25ee9cc8556",5771,0,"denied","VCEMAudit: consent inactive"
14,"0xbc15c648890a53359c626fed38e6220c02ad7d57946fb0672c8c4cb845fea8d7","1","0x9686c48de4df4dacf426165faa7585d8e9c45b78dd6733d94155fe44fbf1ccba","0x2ac2e4466b35fa0c7b59a2b112c33a6b0a6f89b76c6868b0319205c1fa6fda74","2026-08-07T23:09:39.161Z","2026-08-07T23:09:41.210Z",2048.648791,5776,0,"2","0x270a83f3c1f3a77196a1760ca2bfdad4710f5485e0bc03e001bb002f0e81451f",3,"0xff9724f2a3b1f24d098ecd88d46498e8f511c25e7c1418b2b9317317fa3285a1","0xda185c5d2aa23bfe03ad1bc2ef5cb049126c976715c5bc68e12eb486d0e6c181",5777,0,"denied","VCEMAudit: consent inactive"
15,"0xfdab61c5ea76e905469c65695570c93b4e04a6cbc095ab54d74520b514a851cd","1","0x649bd73ce37fd44b79765c5bb7cc3a7a12bf7a1a5a5e9d553fdc2c5896a4837b","0xc5314aa10f5290e5e4cb40486aa80519fe4567f89ee20172c7be7ad021c31578","2026-08-07T23:09:51.570Z","2026-08-07T23:09:53.365Z",1795.097791,5782,0,"2","0x17f82001c3fbad8e3b3a8c5db390013fde2844a1e3d1fd28212a5d3cceaf1f5c",3,"0x35be81f9805949abc3d7e086f3229210ba39ac36d8813d15f9bea72302b694e0","0xe53454d87104fcb462d24014f422b6840127f8f5b636fef4efb488e0a689077c",5783,0,"denied","VCEMAudit: consent inactive"
16,"0x8215c5fc5d35ba4287cb5d412c489d0572df42ccc471310261224797afc6fce6","1","0xb8a3d421f97a35143845aa4c497c00273f4deead8fe9734e31f51361736eed03","0xc4f85264daa5db36144c92e2eeef0aa536229a38d86d4a4bf561ed88d43a4b4d","2026-08-07T23:10:03.323Z","2026-08-07T23:10:05.322Z",1999.110208,5788,0,"2","0x0d9344f81876a97746b9d459231174bc5125c775e2709dec93e9d7a57a6d7592",3,"0x10f8d9249a4fc14c716a5242345ebca53e910349512d2895fb4e47b59fdfa770","0xf7afa7ede0696906a864d4a4f86e3b6bee784d5ff40e562bc377d0a8f11f75fa",5789,0,"denied","VCEMAudit: consent inactive"
